Paper,Subtribes,Municipality,Long,Lat,Species,contagem
Azevedo et al. 1993,Lutzomyiina,Porto Velho,-63.133333,-8.833333,Lutzomyia evangelistai,10
Azevedo et al. 1993,Lutzomyiina,Porto Velho,-63.133333,-8.833333,Lutzomyia gomezi,33
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Bichromomyia flaviscutellata,3
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia anduzei,2
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia fraihai,123
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia richardwardi,265
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia shawi,5
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Nyssomyia umbratilis,228
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia bigeniculata,9
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia brasiliensis,1
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia dendrophyla,6
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psathyromyia punctigeniculata,2
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus amazonensis,5
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus ayrozai,15
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus carrerai,197
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus claustrei,2
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus davisi,23
Azevedo et al. 1993,Psychodopygina,Porto Velho,-63.133333,-8.833333,Psychodopygus lainsoni,7
Biancardi et al. 1982,Psychodopygina,Ariquemes,-63.0408,-9.91333,Psychodopygus guyanensis,1
Biancardi et al. 1982,Psychodopygina,Ji-Paraná,-61.9517,-10.8853,Psychodopygus guyanensis,1
Biancardi et al. 1982,Psychodopygina,Porto Velho,-63.9039,-8.76194,Psathyromyia dasymera,1
Biancardi et al. 1982,Psychodopygina,Porto Velho,-63.9039,-8.76194,Psychodopygus guyanensis,1
Costa et al. 2021,Brumptomyiina,Costa Marques,-64.16088889,-12.43402778,Brumptomyia brumpti,1
Costa et al. 2021,Brumptomyiina,Costa Marques,-64.16088889,-12.43402778,Brumptomyia pintoi,1
Costa et al. 2021,Brumptomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Brumptomyia brumpti,1
Costa et al. 2021,Brumptomyiina,São Francisco do Guaporé,-63.66675,-12.08458333,Brumptomyia mesai,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pintomyia nevesi,3
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pintomyia serrana,5
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pressatia calcarata,8
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Pressatia trispinosa,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Sciopemyia fluviatilis,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.30261111,-12.43444444,Sciopemyia vattierae,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia georgii,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia piperiformis,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia walkeri,10
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia williamsi,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Evandromyia wilsoni,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Lutzomyia sherlocki,5
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Pintomyia fiocruzi,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Pintomyia nevesi,2
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.28894444,-12.43611111,Pressatia calcarata,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.17816667,-12.45775,Evandromyia saulensis,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.17816667,-12.45775,Pressatia calcarata,1
Costa et al. 2021,Lutzomyiina,Costa Marques,-64.17816667,-12.45775,Pressatia trispinosa,2
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Evandromyia piperiformis,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Evandromyia walkeri,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Evandromyia wilsoni,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Lutzomyia sherlocki,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Pintomyia fiocruzi,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.05383333,-9.509,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Evandromyia wilsoni,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.03819444,-9.465527778,Sciopemyia vattierae,2
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Evandromyia walkeri,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Evandromyia wilsoni,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Sciopemyia servulolimai,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.01944444,-9.450805556,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Machadinho d'Oeste,-62.00872222,-9.450611111,Sciopemyia sordellii,3
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia apurinan,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia carmelinoi,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia lenti,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia saulensis,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Evandromyia walkeri,11
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Lutzomyia sherlocki,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Sciopemyia sordellii,4
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Sciopemyia vattierae,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.18577778,-11.65563889,Trichopygomyia dasypodogeton,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Evandromyia bacula,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Evandromyia saulensis,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Evandromyia walkeri,5
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.173,-11.64225,Sciopemyia vattierae,1
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.15202778,-11.68477778,Evandromyia walkeri,2
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.15202778,-11.68477778,Evandromyia wilsoni,2
Costa et al. 2021,Lutzomyiina,Pimenta Bueno,-61.15202778,-11.68477778,Sciopemyia servulolimai,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.66675,-12.08458333,Sciopemyia sordellii,1
Costa et al. 2021,Lutzomyiina,São Francisco do Guaporé,-63.65294444,-12.09188889,Evandromyia georgii,3
